Instance;;ILS – Santos and Chagas (2018);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BRKGA – Santos and Chagas (2018);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ACO – Chagas and Wagner (2020);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ACO++;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;run #01;run #02;run #03;run #04;run #05;run #06;run #07;run #08;run #09;run #10;run #11;run #12;run #13;run #14;run #15;run #16;run #17;run #18;run #19;run #20;run #21;run #22;run #23;run #24;run #25;run #26;run #27;run #28;run #29;run #30;;run #01;run #02;run #03;run #04;run #05;run #06;run #07;run #08;run #09;run #10;run #11;run #12;run #13;run #14;run #15;run #16;run #17;run #18;run #19;run #20;run #21;run #22;run #23;run #24;run #25;run #26;run #27;run #28;run #29;run #30;;run #01;run #02;run #03;run #04;run #05;run #06;run #07;run #08;run #09;run #10;run #11;run #12;run #13;run #14;run #15;run #16;run #17;run #18;run #19;run #20;run #21;run #22;run #23;run #24;run #25;run #26;run #27;run #28;run #29;run #30;;run #01;run #02;run #03;run #04;run #05;run #06;run #07;run #08;run #09;run #10;run #11;run #12;run #13;run #14;run #15;run #16;run #17;run #18;run #19;run #20;run #21;run #22;run #23;run #24;run #25;run #26;run #27;run #28;run #29;run #30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
eil51_01_bsc_01_01.thop;;5407;5554;5554;5407;5407;5554;5508;5407;5407;5453;5407;5407;5407;5407;5554;5407;5554;5407;5407;5554;5554;5554;5407;5407;5508;5407;5403;5407;5407;5407;;5554;5554;5554;5554;5554;5554;5554;5554;5554;5554;5554;5554;5554;5547;5554;5554;5554;5554;5554;5554;5554;5554;5554;5554;5554;5554;5554;5554;5554;5554;;5407;5453;5547;5355;5355;5324;5324;5397;5547;5547;5508;5446;5332;5231;5254;5228;5306;5273;5254;5286;5433;5341;5508;5397;5547;5324;5547;5433;5163;5547;;5554;5554;5554;5554;5554;5554;5554;5554;5554;5554;5554;5554;5554;5554;5554;5554;5554;5554;5554;5554;5554;5554;5554;5554;5554;5554;5554;5554;5554;5554;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
eil51_01_bsc_01_02.thop;;6113;6068;6114;6160;6074;6181;6034;6033;6082;6082;6059;6059;6059;6054;6231;6160;6152;6152;6134;6169;6160;6135;6033;6034;6180;6059;6181;6113;6034;6124;;6281;6281;6352;6302;6281;6456;6357;6491;6456;6281;6306;6491;6281;6281;6261;6281;6261;6302;6281;6334;6261;6281;6281;6281;6261;6281;6281;6281;6282;6281;;6334;6334;6300;6306;6300;6334;6300;6262;6261;6334;6300;6334;6300;6261;6300;6334;6334;6334;6300;6306;6300;6300;6261;6300;6334;6300;6334;6334;6300;6334;;6491;6491;6491;6491;6491;6491;6491;6491;6491;6491;6491;6491;6491;6491;6491;6491;6491;6491;6491;6491;6491;6456;6491;6491;6491;6491;6456;6491;6491;6491;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
eil51_01_bsc_01_03.thop;;6478;6483;6577;6382;6478;6524;6478;6678;6524;6583;6577;6579;6483;6825;6612;6508;6577;6625;6625;6524;6524;6483;6518;6579;6520;6528;6501;6503;6484;6478;;6825;6825;6825;6679;6825;6825;6726;6726;6825;6726;6825;6726;6825;6825;6827;6825;6825;6825;6825;6825;6825;6825;6825;6825;6726;6825;6825;6726;6825;6726;;6676;6676;6825;6825;6642;6825;6740;6805;6728;6676;6760;6686;6779;6670;6679;6728;6825;6805;6644;6825;6825;6563;6779;6825;6779;6728;6779;6779;6622;6728;;6825;6825;6825;6825;6825;6825;6825;6827;6825;6827;6827;6827;6827;6799;6825;6825;6825;6825;6827;6825;6825;6827;6825;6825;6827;6827;6827;6825;6825;6825;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
eil51_01_bsc_05_01.thop;;19413;19413;19413;19413;19260;19413;19214;19011;19413;19413;18999;18999;19214;19239;19084;19413;19164;19260;19413;19413;19413;19164;19011;19037;19413;19361;19413;19413;19214;19413;;19521;19361;19413;19521;19413;19521;19413;19413;19521;19413;19413;19361;19521;19413;19413;19413;19521;19413;19413;19361;19361;19361;19361;19413;19413;19521;19361;19413;19361;19413;;18778;18851;19159;18979;19159;18541;19053;18548;18620;18750;18656;18855;18417;19112;18851;18846;18805;19059;18548;18978;18555;18649;18751;18475;19059;18508;18931;18594;18736;18931;;19748;19421;19421;19467;19467;19467;19748;19467;19467;19467;19421;19748;19467;19467;19467;19498;19748;19498;19498;19748;19322;19467;19467;19467;19467;19322;19748;19467;19421;19601;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
eil51_01_bsc_05_02.thop;;22206;22232;22214;21681;22242;22292;22166;21918;22215;22206;22303;22020;22290;22475;22153;22131;22242;22305;22208;22197;21832;22024;22305;22454;22675;22675;22045;22397;22211;22123;;22568;22568;22568;22568;22568;22816;22568;22568;22593;22568;22568;22568;22568;22568;22014;22568;22568;22568;22568;22721;22568;22568;22568;22568;22628;22568;21902;22568;22715;22568;;21854;21967;22082;22369;22328;22044;21996;21940;22025;22428;22144;21536;22040;21889;21477;22024;21657;21969;22059;22489;22455;22289;22314;21527;22278;22117;21683;21437;21955;22188;;22850;22983;22815;22983;23145;22818;23130;22983;22921;23102;22850;22921;22845;23105;22915;22850;23102;23016;22921;22921;22850;23145;22845;23012;22965;22921;22850;22913;22850;23130;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
eil51_01_bsc_05_03.thop;;24006;24237;23988;23747;24063;23972;23970;24034;24460;24166;23566;23826;24252;24124;24035;23599;24007;24248;24265;24248;23843;24075;24325;23740;23922;23987;23912;24050;23966;23898;;24595;24242;24396;24668;24087;24448;24087;24200;23992;24309;24087;24097;24668;24200;24309;24097;24534;24097;24087;24097;24393;24299;24077;24511;24453;24309;24087;24567;24511;24595;;24041;24267;24994;24309;24483;24375;24411;24239;24272;24235;24534;24280;24414;24548;24246;24186;24309;23664;24213;24234;24562;24626;24611;24812;24408;24295;24162;24150;24094;24051;;25074;25349;25074;25082;25074;25115;25347;25115;25291;25291;25200;25099;24799;25297;25053;25262;25227;24840;25050;25208;25050;25233;25227;25074;25341;25262;25291;25050;25347;25074;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
eil51_01_bsc_10_01.thop;;29512;30309;30652;29947;29866;29616;30061;29749;30823;29947;30823;29057;30320;30870;30445;29668;30823;31392;30177;30538;30208;30234;29940;30870;29701;29432;29145;30367;30488;29849;;31439;31096;31403;32191;31193;29895;32191;32144;31423;30233;31135;31594;31711;30977;30233;31924;30233;31679;30359;29874;32191;31403;30031;31259;30170;31423;31855;31679;31076;31135;;29697;30380;30286;30363;30590;30363;30698;30900;30290;30286;30870;30776;30363;30925;32087;29668;30286;31270;30495;30367;30363;30363;30994;30303;31567;30698;30827;30380;30380;30290;;32357;32357;32357;32357;32357;32357;32357;32357;32357;32357;32357;32357;32357;32357;32357;32357;32357;32357;32357;32357;32357;32357;32357;32357;32357;32357;32357;32357;32357;32357;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
eil51_01_bsc_10_02.thop;;36719;37465;36810;37121;36555;35909;36672;36070;36449;37139;36329;37061;36407;38021;35874;37139;36997;36136;36230;36010;36275;37593;36407;35928;36404;37271;36679;36332;36773;36190;;36912;39295;37437;39015;39779;39407;38879;39222;39385;37379;38796;38359;39790;39790;38655;39546;39659;37444;38925;39122;39790;39790;39868;39857;39868;38937;39790;38724;39790;39545;;38001;37656;39118;37941;38535;37845;37890;37781;37934;38284;37923;37816;37722;37474;38920;38663;38588;38760;37988;37839;37609;39034;38025;37601;37325;38130;38294;37958;37805;37546;;39931;39881;39858;38184;39881;39881;39858;39881;39880;39881;39881;37784;39881;39880;39881;39816;38184;39881;39881;39881;39881;39810;39881;39881;39931;39072;39881;39881;39881;39881;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
eil51_01_bsc_10_03.thop;;40625;41392;40835;40986;41018;40573;39458;42092;40279;40658;41186;41267;40748;41140;40809;41000;41006;40013;41414;40009;40839;41463;39933;40688;41124;40355;40396;41100;39997;41325;;44160;44062;44031;43336;43598;43554;44044;44210;43988;44182;43434;44110;43008;41803;44070;43676;43813;44031;44070;44201;44547;42636;43597;43731;44489;43803;43446;43351;42776;42880;;43495;42547;43489;42083;42512;43366;42772;43491;43101;43307;42676;43255;43247;43203;41972;43354;43379;42628;43177;42446;43288;43312;43076;43096;42907;43031;43156;43145;43036;43506;;44391;44485;44288;43306;44378;44571;44770;44357;44482;44378;44664;44699;44597;44417;44451;44481;43306;44570;44481;44743;44369;44280;44451;44482;44095;43957;44542;44443;44443;44443;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
eil51_01_unc_01_01.thop;;6242;6242;6242;6242;6203;6203;6203;6080;6203;6080;6080;6203;6242;6242;6203;6242;6148;6080;6080;6203;6203;6019;6242;6242;6242;6148;6203;6148;6242;6080;;6242;6242;6242;6203;6242;6242;6242;6242;6242;6242;6242;6242;6242;6242;6242;6242;6242;6242;6242;6242;6242;6242;6242;6242;6242;6242;6242;6242;6203;6242;;6242;6242;6242;6242;6242;6242;6242;6242;6242;6242;6242;6242;6242;6242;6242;6242;6242;6242;6242;6242;6242;6242;6242;6242;6242;6242;6242;6242;6242;6242;;6242;6242;6242;6242;6242;6242;6242;6242;6242;6242;6242;6242;6242;6242;6242;6242;6242;6242;6242;6242;6242;6242;6242;6242;6242;6242;6242;6242;6242;6242;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
